row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,read
A,13552,,12743,,4422,,2267,,17829,,18852,,14386,,7275,,10412,,9025,,3543,,5133,,"sfGFP_1:485,515"
A,267,,365,,688,,772,,468,,644,,1699,,1651,,239,,257,,677,,570,,"mScarlet_1:565,595"
A,1.471,,1.457,,1.522,,1.538,,1.433,,1.422,,1.455,,1.486,,1.406,,1.421,,1.449,,1.434,,OD600_1:600
A,1.34,,1.322,,1.393,,1.415,,1.3,,1.291,,1.331,,1.361,,1.269,,1.282,,1.31,,1.301,,OD700_1:700
A,13777,,12914,,4483,,2300,,18019,,19038,,14584,,7300,,10447,,9043,,3548,,5102,,"sfGFP_2:485,515"
A,270,,367,,676,,769,,471,,653,,1726,,1678,,240,,258,,674,,572,,"mScarlet_2:565,595"
A,1.471,,1.454,,1.517,,1.543,,1.431,,1.428,,1.462,,1.491,,1.401,,1.421,,1.442,,1.441,,OD600_2:600
A,1.343,,1.321,,1.387,,1.412,,1.288,,1.294,,1.335,,1.366,,1.262,,1.275,,1.302,,1.302,,OD700_2:700
B,14292,,13605,,2827,,1087,,17985,,19510,,4680,,8607,,10947,,9668,,2726,,3831,,"sfGFP_1:485,515"
B,277,,375,,750,,823,,471,,640,,3462,,1319,,252,,289,,648,,624,,"mScarlet_1:565,595"
B,1.456,,1.461,,1.499,,1.507,,1.4,,1.414,,1.5,,1.471,,1.394,,1.411,,1.401,,1.414,,OD600_1:600
B,1.327,,1.33,,1.369,,1.374,,1.265,,1.273,,1.378,,1.345,,1.254,,1.271,,1.266,,1.283,,OD700_1:700
B,14431,,13681,,2868,,1092,,18197,,19613,,4754,,8708,,11024,,9735,,2713,,3833,,"sfGFP_2:485,515"
B,277,,375,,744,,817,,474,,643,,3540,,1338,,250,,292,,639,,629,,"mScarlet_2:565,595"
B,1.462,,1.469,,1.501,,1.511,,1.405,,1.42,,1.507,,1.476,,1.397,,1.416,,1.399,,1.417,,OD600_2:600
B,1.33,,1.338,,1.369,,1.38,,1.272,,1.286,,1.382,,1.347,,1.251,,1.272,,1.259,,1.276,,OD700_2:700
C,12087,,10882,,1148,,565,,17397,,19749,,11588,,8872,,11495,,10179,,2030,,3060,,"sfGFP_1:485,515"
