,well,strain,sal,las,iptg,chlor,cole1,rep,plate,channel,measurement
1,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,1,OD700,1.3605
5,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,2,OD700,1.3775
9,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,3,OD700,1.4195000000000002
13,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,4,OD700,1.42
17,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,5,OD700,1.3824999999999998
21,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,6,OD700,1.4355
25,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,7,OD700,1.3904999999999998
29,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,8,OD700,1.4175
33,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,9,OD700,1.4649999999999999
37,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,10,OD700,1.4695
41,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,11,OD700,1.4575
45,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,12,OD700,1.4605000000000001
49,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,13,OD700,1.5445
53,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,14,OD700,1.463
57,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,15,OD700,1.467
61,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,16,OD700,1.4865000000000002
65,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,1,OD700,1.3184999999999998
69,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,2,OD700,1.2734999999999999
73,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,3,OD700,1.1275
77,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,4,OD700,1.2494999999999998
81,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,5,OD700,1.241
85,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,6,OD700,1.2570000000000001
89,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,7,OD700,1.2690000000000001
93,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,8,OD700,1.2959999999999998
97,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,9,OD700,1.4265
101,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,10,OD700,1.4460000000000002
105,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,11,OD700,1.4315
109,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,12,OD700,1.3235000000000001
113,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,13,OD700,1.384
117,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,14,OD700,1.452
121,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,15,OD700,1.4364999999999999
125,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,16,OD700,1.478
129,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,1,OD700,1.3255
133,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,2,OD700,1.271
137,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,3,OD700,1.275
141,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,4,OD700,1.304
145,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,5,OD700,1.3355000000000001
149,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,6,OD700,1.3880000000000001
153,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,7,OD700,1.39
