,strain,sal,las,iptg,chlor,cole1,plate,measurement,std
0,1x diff 2x bxb1,10,0.01,10,+,carb,1,1.3466250000000002,0.013471530828274144
1,1x diff 2x bxb1,10,0.01,10,+,carb,2,1.3575000000000004,0.02030130185832575
2,1x diff 2x bxb1,10,0.01,10,+,carb,3,1.3859999999999997,0.008366600265340817
3,1x diff 2x bxb1,10,0.01,10,+,carb,4,1.377375,0.01677317160570075
4,1x diff 2x bxb1,10,0.01,10,+,carb,5,1.36575,0.009223417401995221
5,1x diff 2x bxb1,10,0.01,10,+,carb,6,1.3755000000000002,0.006974443142133859
6,1x diff 2x bxb1,10,0.01,10,+,carb,7,1.365375,0.006642665127793185
7,1x diff 2x bxb1,10,0.01,10,+,carb,8,1.3744999999999998,0.014672617840239342
8,1x diff 2x bxb1,10,0.01,10,+,carb,9,1.4346874999999997,0.012299644303800024
9,1x diff 2x bxb1,10,0.01,10,+,carb,10,1.4495,0.015892495983055303
10,1x diff 2x bxb1,10,0.01,10,+,carb,11,1.428875,0.006817781373521993
11,1x diff 2x bxb1,10,0.01,10,+,carb,12,1.4341875000000002,0.014520767148171873
12,1x diff 2x bxb1,10,0.01,10,+,carb,13,1.4238125,0.013822697431605526
13,1x diff 2x bxb1,10,0.01,10,+,carb,14,1.4424375,0.014211256856047906
14,1x diff 2x bxb1,10,0.01,10,+,carb,15,1.4193125,0.009985480530679066
15,1x diff 2x bxb1,10,0.01,10,+,carb,16,1.4230625,0.027442716311827212
16,1x diff 2x bxb1,10,0.01,10,+,kan,1,1.347375,0.015792742456132002
17,1x diff 2x bxb1,10,0.01,10,+,kan,2,1.3411875000000002,0.008075259836597853
18,1x diff 2x bxb1,10,0.01,10,+,kan,3,1.1981249999999999,0.025119357930829894
19,1x diff 2x bxb1,10,0.01,10,+,kan,4,1.3450000000000002,0.024766048188137414
20,1x diff 2x bxb1,10,0.01,10,+,kan,5,1.3544375,0.009774008901162423
21,1x diff 2x bxb1,10,0.01,10,+,kan,6,1.3381874999999999,0.011227954590472515
22,1x diff 2x bxb1,10,0.01,10,+,kan,7,1.329,0.021485875759271637
23,1x diff 2x bxb1,10,0.01,10,+,kan,8,1.3564375,0.0070934451633684675
24,1x diff 2x bxb1,10,0.01,10,+,kan,9,1.4203125,0.009429957960821349
25,1x diff 2x bxb1,10,0.01,10,+,kan,10,1.4151250000000002,0.008162413858657272
26,1x diff 2x bxb1,10,0.01,10,+,kan,11,1.4190625000000001,0.012596591092150918
27,1x diff 2x bxb1,10,0.01,10,+,kan,12,1.1665625,0.028307542533496502
28,1x diff 2x bxb1,10,0.01,10,+,kan,13,1.3383125,0.03241134887218186
29,1x diff 2x bxb1,10,0.01,10,+,kan,14,1.3814375,0.014948572554882014
30,1x diff 2x bxb1,10,0.01,10,+,kan,15,1.3914374999999999,0.007058113365887162
31,1x diff 2x bxb1,10,0.01,10,+,kan,16,1.4235,0.009460443964212268
32,1x diff 2x bxb1,10,0.01,10,-,carb,1,1.3674375,0.02148161589426116
33,1x diff 2x bxb1,10,0.01,10,-,carb,2,1.3644375,0.017680573479710176
34,1x diff 2x bxb1,10,0.01,10,-,carb,3,1.4033125,0.018027632559886698
35,1x diff 2x bxb1,10,0.01,10,-,carb,4,1.4104375,0.010758509920722541
36,1x diff 2x bxb1,10,0.01,10,-,carb,5,1.3849375,0.022072020912070098
37,1x diff 2x bxb1,10,0.01,10,-,carb,6,1.4043125,0.01907305035907994
38,1x diff 2x bxb1,10,0.01,10,-,carb,7,1.3893124999999997,0.011744109465721844
39,1x diff 2x bxb1,10,0.01,10,-,carb,8,1.4055625,0.01467368271040763
40,1x diff 2x bxb1,10,0.01,10,-,carb,9,1.4718125000000002,0.014002391377393862
41,1x diff 2x bxb1,10,0.01,10,-,carb,10,1.473375,0.010769500585317017
42,1x diff 2x bxb1,10,0.01,10,-,carb,11,1.4599374999999999,0.019060875223496702
43,1x diff 2x bxb1,10,0.01,10,-,carb,12,1.4694375000000002,0.019801582728949458
44,1x diff 2x bxb1,10,0.01,10,-,carb,13,1.4836875,0.028914822570538283
45,1x diff 2x bxb1,10,0.01,10,-,carb,14,1.47975,0.016449055552566847
46,1x diff 2x bxb1,10,0.01,10,-,carb,15,1.4665624999999998,0.03123349564169852
47,1x diff 2x bxb1,10,0.01,10,-,carb,16,1.4818124999999998,0.0318040176033514
48,1x diff 2x bxb1,10,0.01,10,-,kan,1,1.3538125,0.009125856124222021
49,1x diff 2x bxb1,10,0.01,10,-,kan,2,1.3318125,0.008556273805142775
50,1x diff 2x bxb1,10,0.01,10,-,kan,3,1.2481875,0.08803811573079326
51,1x diff 2x bxb1,10,0.01,10,-,kan,4,1.3683124999999998,0.018958483777529563
52,1x diff 2x bxb1,10,0.01,10,-,kan,5,1.3621250000000003,0.005591766907056935
53,1x diff 2x bxb1,10,0.01,10,-,kan,6,1.3565000000000003,0.012262020341572645
54,1x diff 2x bxb1,10,0.01,10,-,kan,7,1.3692499999999999,0.011042127124271437
55,1x diff 2x bxb1,10,0.01,10,-,kan,8,1.3730625,0.01657975852831218
56,1x diff 2x bxb1,10,0.01,10,-,kan,9,1.43125,0.009805246409084157
57,1x diff 2x bxb1,10,0.01,10,-,kan,10,1.43125,0.011792854979665795
58,1x diff 2x bxb1,10,0.01,10,-,kan,11,1.4067500000000002,0.016256866681058805
59,1x diff 2x bxb1,10,0.01,10,-,kan,12,1.252125,0.019901094729400604
60,1x diff 2x bxb1,10,0.01,10,-,kan,13,1.3809375,0.03144886722920232
61,1x diff 2x bxb1,10,0.01,10,-,kan,14,1.417875,0.006440663231154361
62,1x diff 2x bxb1,10,0.01,10,-,kan,15,1.41075,0.008383657572069266
63,1x diff 2x bxb1,10,0.01,10,-,kan,16,1.4373125,0.015167958474551272
64,1x diff 2x bxb1,10,0.01,50,+,carb,1,1.3350625,0.012260381898037
65,1x diff 2x bxb1,10,0.01,50,+,carb,2,1.3448124999999997,0.015713818986575354
66,1x diff 2x bxb1,10,0.01,50,+,carb,3,1.373625,0.0033567628964311954
67,1x diff 2x bxb1,10,0.01,50,+,carb,4,1.3736874999999997,0.01135447520332213
68,1x diff 2x bxb1,10,0.01,50,+,carb,5,1.3494374999999998,0.009969372741408722
69,1x diff 2x bxb1,10,0.01,50,+,carb,6,1.367625,0.0063456959541769095
70,1x diff 2x bxb1,10,0.01,50,+,carb,7,1.3603750000000001,0.0123859078910555
71,1x diff 2x bxb1,10,0.01,50,+,carb,8,1.352125,0.020715332485866596
72,1x diff 2x bxb1,10,0.01,50,+,carb,9,1.422875,0.009330250341152244
