,well,strain,sal,las,iptg,chlor,cole1,rep,plate,channel,measurement
3,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,1,sfGFP,1897.0
7,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,2,sfGFP,5062.5
11,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,3,sfGFP,5985.0
15,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,4,sfGFP,5758.5
19,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,5,sfGFP,4433.5
23,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,6,sfGFP,4430.5
27,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,7,sfGFP,4738.0
31,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,8,sfGFP,5684.5
35,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,9,sfGFP,7090.0
39,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,10,sfGFP,8593.0
43,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,11,sfGFP,8354.5
47,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,12,sfGFP,8137.0
51,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,13,sfGFP,9773.5
55,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,14,sfGFP,9426.0
59,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,15,sfGFP,8855.5
63,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,16,sfGFP,9918.0
67,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,1,sfGFP,10746.5
71,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,2,sfGFP,16111.0
75,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,3,sfGFP,16799.0
79,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,4,sfGFP,16032.0
83,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,5,sfGFP,16459.5
87,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,6,sfGFP,12326.5
91,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,7,sfGFP,13735.0
95,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,8,sfGFP,10860.5
99,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,9,sfGFP,8494.5
103,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,10,sfGFP,6802.5
107,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,11,sfGFP,4059.0
111,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,12,sfGFP,1807.0
