,strain,sal,las,iptg,chlor,cole1,plate,measurement,std
0,1x diff 2x bxb1,10,0.01,10,+,carb,1,2625.9375,214.74094650797937
1,1x diff 2x bxb1,10,0.01,10,+,carb,2,5779.5,421.5327474145481
2,1x diff 2x bxb1,10,0.01,10,+,carb,3,4723.8125,555.9293337350916
3,1x diff 2x bxb1,10,0.01,10,+,carb,4,3919.1875,493.2032279974888
4,1x diff 2x bxb1,10,0.01,10,+,carb,5,4049.4375,440.8134070345735
5,1x diff 2x bxb1,10,0.01,10,+,carb,6,3555.5625,369.4730260307046
6,1x diff 2x bxb1,10,0.01,10,+,carb,7,4157.25,425.86936293388646
7,1x diff 2x bxb1,10,0.01,10,+,carb,8,4743.1875,524.5348917646675
8,1x diff 2x bxb1,10,0.01,10,+,carb,9,5774.3125,524.8260893926129
9,1x diff 2x bxb1,10,0.01,10,+,carb,10,6648.875,539.6452373021159
10,1x diff 2x bxb1,10,0.01,10,+,carb,11,6746.0625,688.3586294066282
11,1x diff 2x bxb1,10,0.01,10,+,carb,12,6508.5,739.8887947329847
12,1x diff 2x bxb1,10,0.01,10,+,carb,13,7701.4375,758.6855850510709
13,1x diff 2x bxb1,10,0.01,10,+,carb,14,7288.125,676.630187557639
14,1x diff 2x bxb1,10,0.01,10,+,carb,15,6969.875,608.1037711020804
15,1x diff 2x bxb1,10,0.01,10,+,carb,16,6797.125,591.9186569357072
16,1x diff 2x bxb1,10,0.01,10,+,kan,1,2591.625,344.9617732445148
17,1x diff 2x bxb1,10,0.01,10,+,kan,2,3020.75,414.8981802804153
18,1x diff 2x bxb1,10,0.01,10,+,kan,3,3361.5625,300.319643701269
19,1x diff 2x bxb1,10,0.01,10,+,kan,4,3354.375,200.00834804006132
20,1x diff 2x bxb1,10,0.01,10,+,kan,5,2822.0625,301.0299507524126
21,1x diff 2x bxb1,10,0.01,10,+,kan,6,2212.9375,235.79719456406966
22,1x diff 2x bxb1,10,0.01,10,+,kan,7,2552.875,458.76937483414724
23,1x diff 2x bxb1,10,0.01,10,+,kan,8,2509.875,345.53341269074724
24,1x diff 2x bxb1,10,0.01,10,+,kan,9,3179.4375,381.9626419185894
25,1x diff 2x bxb1,10,0.01,10,+,kan,10,3987.375,422.8319279403039
26,1x diff 2x bxb1,10,0.01,10,+,kan,11,4420.8125,579.3119649019615
27,1x diff 2x bxb1,10,0.01,10,+,kan,12,4280.3125,330.59664002051977
28,1x diff 2x bxb1,10,0.01,10,+,kan,13,7285.375,911.0615374386083
29,1x diff 2x bxb1,10,0.01,10,+,kan,14,6347.625,970.5050139710029
30,1x diff 2x bxb1,10,0.01,10,+,kan,15,4741.75,697.5619788131476
31,1x diff 2x bxb1,10,0.01,10,+,kan,16,3749.9375,306.85122471181836
32,1x diff 2x bxb1,10,0.01,10,-,carb,1,2183.6875,160.5056602250703
33,1x diff 2x bxb1,10,0.01,10,-,carb,2,5496.375,479.8630571021577
34,1x diff 2x bxb1,10,0.01,10,-,carb,3,5488.5625,685.0752532959948
35,1x diff 2x bxb1,10,0.01,10,-,carb,4,5533.25,932.7871446063443
36,1x diff 2x bxb1,10,0.01,10,-,carb,5,4645.75,866.1397528277822
37,1x diff 2x bxb1,10,0.01,10,-,carb,6,4670.1875,785.6030412319298
38,1x diff 2x bxb1,10,0.01,10,-,carb,7,4876.375,811.7191962565801
39,1x diff 2x bxb1,10,0.01,10,-,carb,8,5468.0625,915.2224334436801
40,1x diff 2x bxb1,10,0.01,10,-,carb,9,7073.625,975.207075079808
41,1x diff 2x bxb1,10,0.01,10,-,carb,10,8402.8125,1100.6150208438655
42,1x diff 2x bxb1,10,0.01,10,-,carb,11,8871.875,1493.5304231919752
43,1x diff 2x bxb1,10,0.01,10,-,carb,12,8917.6875,1560.0997435489276
44,1x diff 2x bxb1,10,0.01,10,-,carb,13,9378.9375,1433.9313202695587
45,1x diff 2x bxb1,10,0.01,10,-,carb,14,8126.9375,1294.2113273424202
46,1x diff 2x bxb1,10,0.01,10,-,carb,15,8196.0625,1179.3643698892574
47,1x diff 2x bxb1,10,0.01,10,-,carb,16,8967.8125,1127.352870904099
48,1x diff 2x bxb1,10,0.01,10,-,kan,1,1664.8125,158.12087092293848
49,1x diff 2x bxb1,10,0.01,10,-,kan,2,2132.375,190.7731918123867
50,1x diff 2x bxb1,10,0.01,10,-,kan,3,2536.6875,414.62727991534774
51,1x diff 2x bxb1,10,0.01,10,-,kan,4,2236.875,254.554197148101
52,1x diff 2x bxb1,10,0.01,10,-,kan,5,1716.375,172.33413350647797
53,1x diff 2x bxb1,10,0.01,10,-,kan,6,1499.6875,119.66618376013454
54,1x diff 2x bxb1,10,0.01,10,-,kan,7,1534.0625,112.17825021557684
55,1x diff 2x bxb1,10,0.01,10,-,kan,8,1641.3125,92.12954291958378
56,1x diff 2x bxb1,10,0.01,10,-,kan,9,2227.4375,236.7562697163478
57,1x diff 2x bxb1,10,0.01,10,-,kan,10,2959.1875,240.63442003824562
58,1x diff 2x bxb1,10,0.01,10,-,kan,11,3736.3125,221.2004484463291
59,1x diff 2x bxb1,10,0.01,10,-,kan,12,3700.6875,262.7585716285688
60,1x diff 2x bxb1,10,0.01,10,-,kan,13,4876.875,563.7906621382494
61,1x diff 2x bxb1,10,0.01,10,-,kan,14,4010.5625,521.6204447611856
62,1x diff 2x bxb1,10,0.01,10,-,kan,15,3461.25,459.52242289452784
63,1x diff 2x bxb1,10,0.01,10,-,kan,16,3202.3125,313.4942398080978
64,1x diff 2x bxb1,10,0.01,50,+,carb,1,2400.5,216.2703334783971
65,1x diff 2x bxb1,10,0.01,50,+,carb,2,3772.25,268.0319810342468
66,1x diff 2x bxb1,10,0.01,50,+,carb,3,2815.3125,347.3897499824327
67,1x diff 2x bxb1,10,0.01,50,+,carb,4,2392.5,290.8202685017476
68,1x diff 2x bxb1,10,0.01,50,+,carb,5,2328.75,245.45555314848463
69,1x diff 2x bxb1,10,0.01,50,+,carb,6,2211.75,275.95405932354555
70,1x diff 2x bxb1,10,0.01,50,+,carb,7,2727.625,323.64186004197376
71,1x diff 2x bxb1,10,0.01,50,+,carb,8,2823.3125,387.92340347584826
72,1x diff 2x bxb1,10,0.01,50,+,carb,9,4124.875,378.71207966701337
73,1x diff 2x bxb1,10,0.01,50,+,carb,10,4561.875,396.45408219075557
74,1x diff 2x bxb1,10,0.01,50,+,carb,11,4481.0625,580.7666384985085
75,1x diff 2x bxb1,10,0.01,50,+,carb,12,4435.875,555.785721170617
76,1x diff 2x bxb1,10,0.01,50,+,carb,13,5094.0625,598.224780824781
77,1x diff 2x bxb1,10,0.01,50,+,carb,14,4945.875,602.3150427428205
78,1x diff 2x bxb1,10,0.01,50,+,carb,15,4644.3125,571.4125315829186
79,1x diff 2x bxb1,10,0.01,50,+,carb,16,4937.875,705.1068687997383
80,1x diff 2x bxb1,10,0.01,50,+,kan,1,2237.0625,386.20409459063404
81,1x diff 2x bxb1,10,0.01,50,+,kan,2,2027.1875,203.22927543259402
82,1x diff 2x bxb1,10,0.01,50,+,kan,3,2573.125,372.32510275679385
83,1x diff 2x bxb1,10,0.01,50,+,kan,4,2626.9375,330.75362404882054
84,1x diff 2x bxb1,10,0.01,50,+,kan,5,1916.375,235.5669073896902
85,1x diff 2x bxb1,10,0.01,50,+,kan,6,1607.5625,149.64730857681906
86,1x diff 2x bxb1,10,0.01,50,+,kan,7,1862.75,230.33655500468998
87,1x diff 2x bxb1,10,0.01,50,+,kan,8,1839.25,215.94493345692155
88,1x diff 2x bxb1,10,0.01,50,+,kan,9,2628.8125,282.07280436845684
89,1x diff 2x bxb1,10,0.01,50,+,kan,10,3115.4375,433.32752686128106
90,1x diff 2x bxb1,10,0.01,50,+,kan,11,3287.4375,401.5009729128935
91,1x diff 2x bxb1,10,0.01,50,+,kan,12,3817.9375,570.0163805603685
92,1x diff 2x bxb1,10,0.01,50,+,kan,13,5830.375,788.2755931235506
93,1x diff 2x bxb1,10,0.01,50,+,kan,14,4277.1875,677.0842919407136
94,1x diff 2x bxb1,10,0.01,50,+,kan,15,3287.9375,413.7251017540857
95,1x diff 2x bxb1,10,0.01,50,+,kan,16,2844.0625,165.05679487895765
96,1x diff 2x bxb1,10,0.01,50,-,carb,1,2265.875,174.35426784075497
97,1x diff 2x bxb1,10,0.01,50,-,carb,2,4107.8125,504.3434868009811
98,1x diff 2x bxb1,10,0.01,50,-,carb,3,3489.1875,435.24877430696375
99,1x diff 2x bxb1,10,0.01,50,-,carb,4,3111.375,459.1943060560374
100,1x diff 2x bxb1,10,0.01,50,-,carb,5,2604.25,363.3217778852711
101,1x diff 2x bxb1,10,0.01,50,-,carb,6,3042.6875,362.5657514260592
102,1x diff 2x bxb1,10,0.01,50,-,carb,7,2988.3125,340.0973534466691
103,1x diff 2x bxb1,10,0.01,50,-,carb,8,3775.375,494.57469102249866
104,1x diff 2x bxb1,10,0.01,50,-,carb,9,5533.125,726.7759897559318
105,1x diff 2x bxb1,10,0.01,50,-,carb,10,5947.1875,579.7389768249157
106,1x diff 2x bxb1,10,0.01,50,-,carb,11,6065.3125,875.7832795152987
107,1x diff 2x bxb1,10,0.01,50,-,carb,12,5547.625,770.3653006389703
108,1x diff 2x bxb1,10,0.01,50,-,carb,13,5907.8125,702.9734773243075
