,strain,sal,las,iptg,chlor,cole1,plate,measurement,std
0,1x diff 2x bxb1,10,0.01,10,+,carb,1,2625.9375,214.74094650797937
1,1x diff 2x bxb1,10,0.01,10,+,carb,2,8405.4375,541.9359765494177
2,1x diff 2x bxb1,10,0.01,10,+,carb,3,13129.25,948.9501341708409
3,1x diff 2x bxb1,10,0.01,10,+,carb,4,17048.4375,1383.2654026278337
4,1x diff 2x bxb1,10,0.01,10,+,carb,5,21097.875,1798.2867392127903
5,1x diff 2x bxb1,10,0.01,10,+,carb,6,24653.4375,2152.8700185947787
6,1x diff 2x bxb1,10,0.01,10,+,carb,7,28810.6875,2558.5530919070534
7,1x diff 2x bxb1,10,0.01,10,+,carb,8,33553.875,3063.6563443749
8,1x diff 2x bxb1,10,0.01,10,+,carb,9,39328.1875,3575.0464226506415
9,1x diff 2x bxb1,10,0.01,10,+,carb,10,45977.0625,4015.988647514368
10,1x diff 2x bxb1,10,0.01,10,+,carb,11,52723.125,4500.655228091001
11,1x diff 2x bxb1,10,0.01,10,+,carb,12,59231.625,5150.903220032664
12,1x diff 2x bxb1,10,0.01,10,+,carb,13,66933.0625,5892.847913466798
13,1x diff 2x bxb1,10,0.01,10,+,carb,14,74221.1875,6546.481748332459
14,1x diff 2x bxb1,10,0.01,10,+,carb,15,81191.0625,7142.629299982203
15,1x diff 2x bxb1,10,0.01,10,+,carb,16,87988.1875,7693.4299007915115
16,1x diff 2x bxb1,10,0.01,10,+,kan,1,2591.625,344.9617732445148
17,1x diff 2x bxb1,10,0.01,10,+,kan,2,5612.375,723.1909326035551
18,1x diff 2x bxb1,10,0.01,10,+,kan,3,8973.9375,941.947543182285
19,1x diff 2x bxb1,10,0.01,10,+,kan,4,12328.3125,1112.666743122127
20,1x diff 2x bxb1,10,0.01,10,+,kan,5,15150.375,1349.765925474276
21,1x diff 2x bxb1,10,0.01,10,+,kan,6,17363.3125,1566.6950641739902
22,1x diff 2x bxb1,10,0.01,10,+,kan,7,19916.1875,1981.595045438685
23,1x diff 2x bxb1,10,0.01,10,+,kan,8,22426.0625,2304.12980843249
24,1x diff 2x bxb1,10,0.01,10,+,kan,9,25605.5,2651.6332298631123
25,1x diff 2x bxb1,10,0.01,10,+,kan,10,29592.875,3043.6678266995086
26,1x diff 2x bxb1,10,0.01,10,+,kan,11,34013.6875,3577.365640259204
27,1x diff 2x bxb1,10,0.01,10,+,kan,12,38294.0,3859.6684905756933
28,1x diff 2x bxb1,10,0.01,10,+,kan,13,45579.375,4724.289801123549
29,1x diff 2x bxb1,10,0.01,10,+,kan,14,51927.0,5666.042301037194
30,1x diff 2x bxb1,10,0.01,10,+,kan,15,56668.75,6341.3252839720235
31,1x diff 2x bxb1,10,0.01,10,+,kan,16,60418.6875,6596.75680022009
32,1x diff 2x bxb1,10,0.01,10,-,carb,1,2183.6875,160.5056602250703
