well,strain,sal,las,iptg,chlor,cole1,rep
A1,1x diff 2x bxb1,20,0.01,10,+,carb,1
B1,1x diff 2x bxb1,20,0.01,10,+,carb,2
C1,1x diff 2x bxb1,20,0.01,10,+,carb,3
D1,1x diff 2x bxb1,20,0.01,10,+,carb,4
E1,1x diff 2x bxb1,20,0.01,10,+,carb,5
F1,1x diff 2x bxb1,20,0.01,10,+,carb,6
G1,1x diff 2x bxb1,20,0.01,10,+,carb,7
H1,1x diff 2x bxb1,20,0.01,10,+,carb,8
A3,1x diff 2x bxb1,20,0.01,50,+,carb,1
B3,1x diff 2x bxb1,20,0.01,50,+,carb,2
C3,1x diff 2x bxb1,20,0.01,50,+,carb,3
D3,1x diff 2x bxb1,20,0.01,50,+,carb,4
E3,1x diff 2x bxb1,20,0.01,50,+,carb,5
F3,1x diff 2x bxb1,20,0.01,50,+,carb,6
G3,1x diff 2x bxb1,20,0.01,50,+,carb,7
H3,1x diff 2x bxb1,20,0.01,50,+,carb,8
A5,1x diff 2x bxb1,30,0.01,10,+,carb,1
B5,1x diff 2x bxb1,30,0.01,10,+,carb,2
C5,1x diff 2x bxb1,30,0.01,10,+,carb,3
D5,1x diff 2x bxb1,30,0.01,10,+,carb,4
E5,1x diff 2x bxb1,30,0.01,10,+,carb,5
F5,1x diff 2x bxb1,30,0.01,10,+,carb,6
G5,1x diff 2x bxb1,30,0.01,10,+,carb,7
H5,1x diff 2x bxb1,30,0.01,10,+,carb,8
A7,1x diff 2x bxb1,30,0.01,50,+,carb,1
B7,1x diff 2x bxb1,30,0.01,50,+,carb,2
C7,1x diff 2x bxb1,30,0.01,50,+,carb,3
D7,1x diff 2x bxb1,30,0.01,50,+,carb,4
E7,1x diff 2x bxb1,30,0.01,50,+,carb,5
F7,1x diff 2x bxb1,30,0.01,50,+,carb,6
G7,1x diff 2x bxb1,30,0.01,50,+,carb,7
H7,1x diff 2x bxb1,30,0.01,50,+,carb,8
A9,split pir 2x bxb1,20,0.01,10,+,carb,1
B9,split pir 2x bxb1,20,0.01,10,+,carb,2
C9,split pir 2x bxb1,20,0.01,10,+,carb,3
D9,split pir 2x bxb1,20,0.01,10,+,carb,4
E9,split pir 2x bxb1,20,0.01,10,+,carb,5
F9,split pir 2x bxb1,20,0.01,10,+,carb,6
G9,split pir 2x bxb1,20,0.01,10,+,carb,7
H9,split pir 2x bxb1,20,0.01,10,+,carb,8
A11,split pir 2x bxb1,20,0.01,50,+,carb,1
B11,split pir 2x bxb1,20,0.01,50,+,carb,2
C11,split pir 2x bxb1,20,0.01,50,+,carb,3
D11,split pir 2x bxb1,20,0.01,50,+,carb,4
E11,split pir 2x bxb1,20,0.01,50,+,carb,5
