,well,strain,sal,las,iptg,chlor,cole1,rep,plate,channel,measurement
2,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,1,mScarlet,695.0
6,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,2,mScarlet,723.0
10,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,3,mScarlet,644.0
14,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,4,mScarlet,594.0
18,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,5,mScarlet,616.5
22,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,6,mScarlet,616.5
26,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,7,mScarlet,648.0
30,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,8,mScarlet,630.0
34,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,9,mScarlet,668.0
38,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,10,mScarlet,681.5
42,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,11,mScarlet,682.5
46,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,12,mScarlet,651.5
50,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,13,mScarlet,719.0
54,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,14,mScarlet,677.0
58,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,15,mScarlet,633.0
62,A1,1x diff 2x bxb1,10,0.01,10,-,carb,1,16,mScarlet,561.0
66,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,1,mScarlet,496.0
70,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,2,mScarlet,339.0
74,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,3,mScarlet,182.5
78,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,4,mScarlet,189.5
82,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,5,mScarlet,209.5
86,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,6,mScarlet,183.5
90,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,7,mScarlet,237.5
94,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,8,mScarlet,289.5
98,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,9,mScarlet,506.5
102,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,10,mScarlet,539.5
106,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,11,mScarlet,606.0
110,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,12,mScarlet,361.0
114,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,13,mScarlet,438.5
118,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,14,mScarlet,626.5
122,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,15,mScarlet,591.5
126,A10,1x diff 2x bxb1,20,0.01,10,-,kan,1,16,mScarlet,568.0
130,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,1,mScarlet,570.5
134,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,2,mScarlet,375.0
138,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,3,mScarlet,327.0
142,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,4,mScarlet,325.5
146,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,5,mScarlet,422.5
150,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,6,mScarlet,270.0
154,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,7,mScarlet,199.5
158,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,8,mScarlet,144.0
162,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,9,mScarlet,158.5
166,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,10,mScarlet,365.0
170,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,11,mScarlet,807.5
174,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,12,mScarlet,803.5
178,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,13,mScarlet,768.5
182,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,14,mScarlet,848.5
186,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,15,mScarlet,800.5
190,A11,1x diff 2x bxb1,20,0.01,50,-,carb,1,16,mScarlet,776.5
194,A12,1x diff 2x bxb1,20,0.01,50,-,kan,1,1,mScarlet,520.0
198,A12,1x diff 2x bxb1,20,0.01,50,-,kan,1,2,mScarlet,495.0
202,A12,1x diff 2x bxb1,20,0.01,50,-,kan,1,3,mScarlet,290.0
206,A12,1x diff 2x bxb1,20,0.01,50,-,kan,1,4,mScarlet,285.0
210,A12,1x diff 2x bxb1,20,0.01,50,-,kan,1,5,mScarlet,328.0
214,A12,1x diff 2x bxb1,20,0.01,50,-,kan,1,6,mScarlet,275.5
218,A12,1x diff 2x bxb1,20,0.01,50,-,kan,1,7,mScarlet,328.5
222,A12,1x diff 2x bxb1,20,0.01,50,-,kan,1,8,mScarlet,363.0
226,A12,1x diff 2x bxb1,20,0.01,50,-,kan,1,9,mScarlet,578.0
230,A12,1x diff 2x bxb1,20,0.01,50,-,kan,1,10,mScarlet,635.5
234,A12,1x diff 2x bxb1,20,0.01,50,-,kan,1,11,mScarlet,694.5
