,strain,sal,las,iptg,chlor,cole1,plate,measurement,std
0,1x diff 2x bxb1,10,0.01,10,+,carb,1,637.1875,5.963804514377927
1,1x diff 2x bxb1,10,0.01,10,+,carb,2,573.1875,11.880168048354472
2,1x diff 2x bxb1,10,0.01,10,+,carb,3,573.875,13.22268073101234
3,1x diff 2x bxb1,10,0.01,10,+,carb,4,513.375,25.113670153353283
4,1x diff 2x bxb1,10,0.01,10,+,carb,5,610.5,8.263517065131166
5,1x diff 2x bxb1,10,0.01,10,+,carb,6,564.375,4.51782185192315
6,1x diff 2x bxb1,10,0.01,10,+,carb,7,597.5625,7.306736128884284
7,1x diff 2x bxb1,10,0.01,10,+,carb,8,581.1875,15.784118374402228
8,1x diff 2x bxb1,10,0.01,10,+,carb,9,630.625,6.484872506732214
9,1x diff 2x bxb1,10,0.01,10,+,carb,10,601.875,13.070550321783928
10,1x diff 2x bxb1,10,0.01,10,+,carb,11,634.8125,12.657401843528996
11,1x diff 2x bxb1,10,0.01,10,+,carb,12,562.9375,57.236625075208615
12,1x diff 2x bxb1,10,0.01,10,+,carb,13,463.125,26.20898155758278
13,1x diff 2x bxb1,10,0.01,10,+,carb,14,596.75,9.776064063386034
14,1x diff 2x bxb1,10,0.01,10,+,carb,15,561.5625,7.53770285204415
15,1x diff 2x bxb1,10,0.01,10,+,carb,16,460.125,48.034028116980345
16,1x diff 2x bxb1,10,0.01,10,+,kan,1,482.9375,55.3762697371356
17,1x diff 2x bxb1,10,0.01,10,+,kan,2,555.4375,22.960272366478094
18,1x diff 2x bxb1,10,0.01,10,+,kan,3,293.9375,7.961682790537622
19,1x diff 2x bxb1,10,0.01,10,+,kan,4,451.25,60.856388325302376
20,1x diff 2x bxb1,10,0.01,10,+,kan,5,564.125,10.732959916604013
21,1x diff 2x bxb1,10,0.01,10,+,kan,6,395.1875,35.91750219998203
22,1x diff 2x bxb1,10,0.01,10,+,kan,7,467.8125,83.75642299464049
23,1x diff 2x bxb1,10,0.01,10,+,kan,8,554.5,11.967217124891055
24,1x diff 2x bxb1,10,0.01,10,+,kan,9,569.4375,21.870458712283888
25,1x diff 2x bxb1,10,0.01,10,+,kan,10,561.1875,27.73978254626897
26,1x diff 2x bxb1,10,0.01,10,+,kan,11,532.25,47.782244161852184
27,1x diff 2x bxb1,10,0.01,10,+,kan,12,285.125,5.866064633612071
28,1x diff 2x bxb1,10,0.01,10,+,kan,13,355.0625,73.94372256752331
29,1x diff 2x bxb1,10,0.01,10,+,kan,14,424.4375,38.337260409610465
30,1x diff 2x bxb1,10,0.01,10,+,kan,15,496.1875,14.694356302433158
31,1x diff 2x bxb1,10,0.01,10,+,kan,16,517.9375,21.757490499989718
32,1x diff 2x bxb1,10,0.01,10,-,carb,1,692.625,10.58890929227368
33,1x diff 2x bxb1,10,0.01,10,-,carb,2,697.9375,13.665487028067693
34,1x diff 2x bxb1,10,0.01,10,-,carb,3,634.375,11.840457278814409
35,1x diff 2x bxb1,10,0.01,10,-,carb,4,592.25,16.84382040139009
36,1x diff 2x bxb1,10,0.01,10,-,carb,5,624.375,23.360146159033963
37,1x diff 2x bxb1,10,0.01,10,-,carb,6,602.875,24.324810966818017
38,1x diff 2x bxb1,10,0.01,10,-,carb,7,637.4375,20.13248529828635
39,1x diff 2x bxb1,10,0.01,10,-,carb,8,633.0,17.169324805760834
40,1x diff 2x bxb1,10,0.01,10,-,carb,9,677.0625,22.958716831988433
41,1x diff 2x bxb1,10,0.01,10,-,carb,10,682.875,17.056104897828053
42,1x diff 2x bxb1,10,0.01,10,-,carb,11,685.9375,21.56789528773861
43,1x diff 2x bxb1,10,0.01,10,-,carb,12,655.625,28.110432735399637
44,1x diff 2x bxb1,10,0.01,10,-,carb,13,651.9375,33.257048125171934
45,1x diff 2x bxb1,10,0.01,10,-,carb,14,675.0625,32.20518758124003
46,1x diff 2x bxb1,10,0.01,10,-,carb,15,616.9375,52.80789815115594
47,1x diff 2x bxb1,10,0.01,10,-,carb,16,524.875,82.18218002879769
48,1x diff 2x bxb1,10,0.01,10,-,kan,1,620.3125,27.236972639620372
49,1x diff 2x bxb1,10,0.01,10,-,kan,2,630.875,28.007333223384794
50,1x diff 2x bxb1,10,0.01,10,-,kan,3,386.75,61.28912744408377
51,1x diff 2x bxb1,10,0.01,10,-,kan,4,512.625,40.7849324418432
52,1x diff 2x bxb1,10,0.01,10,-,kan,5,563.375,34.71593911406443
53,1x diff 2x bxb1,10,0.01,10,-,kan,6,478.5625,31.9323363871618
54,1x diff 2x bxb1,10,0.01,10,-,kan,7,510.5,32.029004712247044
55,1x diff 2x bxb1,10,0.01,10,-,kan,8,530.6875,40.20921847039558
56,1x diff 2x bxb1,10,0.01,10,-,kan,9,568.875,49.18460124876482
57,1x diff 2x bxb1,10,0.01,10,-,kan,10,568.4375,50.42989299158642
58,1x diff 2x bxb1,10,0.01,10,-,kan,11,517.3125,64.01056692899562
59,1x diff 2x bxb1,10,0.01,10,-,kan,12,331.875,22.636490767910878
60,1x diff 2x bxb1,10,0.01,10,-,kan,13,397.8125,47.559689939515565
61,1x diff 2x bxb1,10,0.01,10,-,kan,14,491.5,50.06852447253806
