,Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,col,iptg,sal,dnaseI,growth,weight,lysate_vol,dilution,rep,ChanStr,end/start,dnase_calc,dnaseI U/L ,dnaseI U/gCW
8679,sybr,60,7232,2.0088888888888894,A4,21401,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,1,sybr60487528,0.7757920684405133,0.05175627176202627,1117.9354700597673,155.26881528607876
8680,sybr,60,7232,2.0088888888888894,A5,21332,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,1,sybr60487528,0.7887594749491588,0.036043281886423265,778.5348887467425,108.12984565926979
8681,sybr,60,7232,2.0088888888888894,A6,22526,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,1,sybr60487528,0.8121574848572253,0.015746163626383064,359.0125306815339,47.23849087914919
8685,sybr,60,7232,2.0088888888888894,A10,22571,AFU,487,528,JS006,1,0,0,0,1,190,570,10,1,sybr60487528,0.8437126196172249,0.0022391495800437628,51.052610424997795,6.717448740131289
8691,sybr,60,7232,2.0088888888888894,B4,20486,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,2,sybr60487528,0.7503754441229259,0.09307806110133204,2010.486119788772,279.23418330399613
8692,sybr,60,7232,2.0088888888888894,B5,21177,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,2,sybr60487528,0.7923448198451004,0.0322855887714852,697.3687174640803,96.8567663144556
8693,sybr,60,7232,2.0088888888888894,B6,22233,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,2,sybr60487528,0.8212847696797311,0.0103506366198116,235.99451493170443,31.051909859434797
8697,sybr,60,7232,2.0088888888888894,B10,22334,AFU,487,528,JS006,1,0,0,0,1,190,570,10,2,sybr60487528,0.8380487804878048,0.0036556110844370754,83.34793272516534,10.96683325331123
8703,sybr,60,7232,2.0088888888888894,C4,20302,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,3,sybr60487528,0.7438264820106983,0.10618899314935651,2293.6822520261007,318.56697944806956
8704,sybr,60,7232,2.0088888888888894,C5,21076,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,3,sybr60487528,0.7950207468879668,0.029639850606961136,640.2207731103605,88.91955182088341
8705,sybr,60,7232,2.0088888888888894,C6,21942,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,3,sybr60487528,0.7865361866867405,0.038498183010608256,877.7585726418682,115.49454903182476
8709,sybr,60,7232,2.0088888888888894,C10,22387,AFU,487,528,JS006,1,0,0,0,1,190,570,10,3,sybr60487528,0.8274014118342757,0.0074483165841631345,169.82161811891947,22.3449497524894
8677,sybr,60,7232,2.0088888888888894,A2,10639,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,1,sybr60487528,0.44677277117540837,2.668086906530169,176093.73583099112,40021.30359795253
8680,sybr,60,7232,2.0088888888888894,A5,13137,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,1,sybr60487528,0.5614342493268943,1.071540539740471,32146.216192214124,16073.108096107064
8683,sybr,60,7232,2.0088888888888894,A8,12047,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,1,sybr60487528,0.5012690883368701,1.7729816266667278,95741.0078400033,26594.724400000912
8689,sybr,60,7232,2.0088888888888894,B2,10667,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,2,sybr60487528,0.4382137868704297,2.836183966547646,187188.14179214463,42542.75949821469
8692,sybr,60,7232,2.0088888888888894,B5,12933,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,2,sybr60487528,0.532924015164002,1.3715763582383804,41147.29074715141,20573.645373575706
8695,sybr,60,7232,2.0088888888888894,B8,11566,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,2,sybr60487528,0.4807748264538388,2.0766115280278346,112137.02251350308,31149.17292041752
8701,sybr,60,7232,2.0088888888888894,C2,10402,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,3,sybr60487528,0.43063547919685363,2.9920546987640586,197475.61011842787,44880.82048146088
8704,sybr,60,7232,2.0088888888888894,C5,12684,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,3,sybr60487528,0.5375715193897012,1.3189253868499848,39567.76160549954,19783.88080274977
8707,sybr,60,7232,2.0088888888888894,C8,11464,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,3,sybr60487528,0.4762181697337266,2.149252760682381,116059.64907684855,32238.791410235706
8682,sybr,60,7232,2.0088888888888894,A7,16460,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,1,sybr60487528,0.6063508435865321,0.6986475500339021,6707.01648032546,2095.942650101706
8683,sybr,60,7232,2.0088888888888894,A8,15553,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,1,sybr60487528,0.6063547758284601,0.6986196498512883,14251.840856966282,2095.858949553865
8684,sybr,60,7232,2.0088888888888894,A9,17351,AFU,487,528,split pir 2x bxb1,3,10,20,0,2,50,150,10,1,sybr60487528,0.637084633743345,0.5030539011936692,3018.3234071620154,1509.1617035810077
8694,sybr,60,7232,2.0088888888888894,B7,17418,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,2,sybr60487528,0.6380453496465072,0.4976285498631951,4777.234078686673,1492.8856495895852
8695,sybr,60,7232,2.0088888888888894,B8,15434,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,2,sybr60487528,0.5985418444116962,0.7555968944534419,15414.176646850214,2266.7906833603256
