,strain,col,iptg,sal,dnaseI,growth,weight,lysate_vol,dilution,dnase_calc,dnaseI U/L ,dnaseI U/gCW
0,JS006,1,0,0,0,1,190,570,10,0.004447692416214657,101.40738708969417,13.34307724864397
1,split pir 2x bxb1,1,0,0,0,1,180,540,10,0.08367444200423828,1807.3679472915467,251.02332601271482
2,split pir 2x bxb1,1,10,20,0,1,110,330,50,2.8321085239472907,186919.16258052114,42481.62785920935
3,split pir 2x bxb1,1,10,20,0,2,80,240,10,0.5997191967745872,5757.304289036037,1799.1575903237617
4,split pir 2x bxb1,2,0,0,0,1,180,540,10,0.032656240421623205,705.3747931070611,97.9687212648696
5,split pir 2x bxb1,2,10,20,0,1,50,150,50,1.2540140949429455,37620.422848288355,18810.211424144178
6,split pir 2x bxb1,2,10,20,0,2,170,510,10,0.7656017042635089,15618.274766975583,2296.805112790527
7,split pir 2x bxb1,3,0,0,0,1,190,570,10,0.021531661085600975,490.92187275170227,64.59498325680293
8,split pir 2x bxb1,3,10,20,0,1,90,270,50,1.9996153051256478,107979.22647678498,29994.22957688472
9,split pir 2x bxb1,3,10,20,0,2,50,150,10,0.5130872685145098,3078.523611087059,1539.2618055435294
