Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,col,iptg,sal,dnaseI,growth,rep,ChanStr
sybr,50,11,0.0030555555555555557,A8,6664,AFU,487,528,JS006,1,0,0,0,1,1,sybr50487528
sybr,50,11,0.0030555555555555557,A9,6649,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr50487528
sybr,50,11,0.0030555555555555557,A10,6640,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr50487528
sybr,50,11,0.0030555555555555557,A11,6560,AFU,487,528,JS006,1,0,0,1,1,1,sybr50487528
sybr,50,11,0.0030555555555555557,A12,6383,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,11,0.0030555555555555557,B8,6756,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,11,0.0030555555555555557,B9,6768,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,11,0.0030555555555555557,B10,6747,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,11,0.0030555555555555557,B11,6696,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
sybr,50,11,0.0030555555555555557,B12,6482,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
sybr,50,11,0.0030555555555555557,C8,6942,AFU,487,528,JS006,1,0,0,0,1,3,sybr50487528
sybr,50,11,0.0030555555555555557,C9,6790,AFU,487,528,JS006,1,0,0,0.25,1,3,sybr50487528
sybr,50,11,0.0030555555555555557,C10,6806,AFU,487,528,JS006,1,0,0,0.5,1,3,sybr50487528
sybr,50,11,0.0030555555555555557,C11,6755,AFU,487,528,JS006,1,0,0,1,1,3,sybr50487528
sybr,50,11,0.0030555555555555557,C12,6505,AFU,487,528,JS006,1,0,0,2,1,3,sybr50487528
sybr,50,71,0.01972222222222222,A8,6780,AFU,487,528,JS006,1,0,0,0,1,1,sybr50487528
sybr,50,71,0.01972222222222222,A9,6757,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr50487528
sybr,50,71,0.01972222222222222,A10,6744,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr50487528
sybr,50,71,0.01972222222222222,A11,6627,AFU,487,528,JS006,1,0,0,1,1,1,sybr50487528
sybr,50,71,0.01972222222222222,A12,6365,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,71,0.01972222222222222,B8,6805,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,71,0.01972222222222222,B9,6842,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,71,0.01972222222222222,B10,6773,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,71,0.01972222222222222,B11,6745,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
sybr,50,71,0.01972222222222222,B12,6488,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
sybr,50,71,0.01972222222222222,C8,6928,AFU,487,528,JS006,1,0,0,0,1,3,sybr50487528
sybr,50,71,0.01972222222222222,C9,6826,AFU,487,528,JS006,1,0,0,0.25,1,3,sybr50487528
sybr,50,71,0.01972222222222222,C10,6866,AFU,487,528,JS006,1,0,0,0.5,1,3,sybr50487528
sybr,50,71,0.01972222222222222,C11,6768,AFU,487,528,JS006,1,0,0,1,1,3,sybr50487528
sybr,50,71,0.01972222222222222,C12,6493,AFU,487,528,JS006,1,0,0,2,1,3,sybr50487528
sybr,50,131,0.03638888888888889,A8,6770,AFU,487,528,JS006,1,0,0,0,1,1,sybr50487528
sybr,50,131,0.03638888888888889,A9,6720,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr50487528
sybr,50,131,0.03638888888888889,A10,6705,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr50487528
sybr,50,131,0.03638888888888889,A11,6559,AFU,487,528,JS006,1,0,0,1,1,1,sybr50487528
sybr,50,131,0.03638888888888889,A12,6277,AFU,487,528,JS006,1,0,0,2,1,1,sybr50487528
sybr,50,131,0.03638888888888889,B8,6799,AFU,487,528,JS006,1,0,0,0,1,2,sybr50487528
sybr,50,131,0.03638888888888889,B9,6819,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr50487528
sybr,50,131,0.03638888888888889,B10,6747,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr50487528
sybr,50,131,0.03638888888888889,B11,6689,AFU,487,528,JS006,1,0,0,1,1,2,sybr50487528
sybr,50,131,0.03638888888888889,B12,6402,AFU,487,528,JS006,1,0,0,2,1,2,sybr50487528
sybr,50,131,0.03638888888888889,C8,6900,AFU,487,528,JS006,1,0,0,0,1,3,sybr50487528
