Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,col,iptg,sal,dnaseI,growth,weight,lysate_vol,dilution,rep,ChanStr
sybr,50,11,0.0030555555555555557,A1,7278,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,1,sybr50487528
sybr,50,11,0.0030555555555555557,A2,7161,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,1,sybr50487528
sybr,50,11,0.0030555555555555557,A3,7318,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,1,sybr50487528
sybr,50,11,0.0030555555555555557,A4,7193,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,1,sybr50487528
sybr,50,11,0.0030555555555555557,A5,7054,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,1,sybr50487528
sybr,50,11,0.0030555555555555557,A6,7233,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,1,sybr50487528
sybr,50,11,0.0030555555555555557,A7,7083,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,1,sybr50487528
sybr,50,11,0.0030555555555555557,A8,6739,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,1,sybr50487528
sybr,50,11,0.0030555555555555557,A9,7129,AFU,487,528,split pir 2x bxb1,3,10,20,0,2,50,150,10,1,sybr50487528
sybr,50,11,0.0030555555555555557,A10,7014,AFU,487,528,JS006,1,0,0,0,1,190,570,10,1,sybr50487528
sybr,50,11,0.0030555555555555557,A11,7002,AFU,487,528,JS006,1,0,0,1,1,190,570,10,1,sybr50487528
sybr,50,11,0.0030555555555555557,A12,6833,AFU,487,528,JS006,1,0,0,2,1,190,570,10,1,sybr50487528
sybr,50,11,0.0030555555555555557,B1,7467,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,2,sybr50487528
sybr,50,11,0.0030555555555555557,B2,7264,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,2,sybr50487528
sybr,50,11,0.0030555555555555557,B3,7364,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,2,sybr50487528
sybr,50,11,0.0030555555555555557,B4,7167,AFU,487,528,split pir 2x bxb1,1,0,0,0,1,180,540,10,2,sybr50487528
sybr,50,11,0.0030555555555555557,B5,6965,AFU,487,528,split pir 2x bxb1,2,0,0,0,1,180,540,10,2,sybr50487528
sybr,50,11,0.0030555555555555557,B6,6980,AFU,487,528,split pir 2x bxb1,3,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,11,0.0030555555555555557,B7,7134,AFU,487,528,split pir 2x bxb1,1,10,20,0,2,80,240,10,2,sybr50487528
sybr,50,11,0.0030555555555555557,B8,6738,AFU,487,528,split pir 2x bxb1,2,10,20,0,2,170,510,10,2,sybr50487528
sybr,50,11,0.0030555555555555557,B9,7101,AFU,487,528,split pir 2x bxb1,3,10,20,0,2,50,150,10,2,sybr50487528
sybr,50,11,0.0030555555555555557,B10,7005,AFU,487,528,JS006,1,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,11,0.0030555555555555557,B11,6981,AFU,487,528,JS006,1,0,0,1,1,190,570,10,2,sybr50487528
sybr,50,11,0.0030555555555555557,B12,6794,AFU,487,528,JS006,1,0,0,2,1,190,570,10,2,sybr50487528
sybr,50,11,0.0030555555555555557,C1,7146,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,3,sybr50487528
sybr,50,11,0.0030555555555555557,C2,7160,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,3,sybr50487528
sybr,50,11,0.0030555555555555557,C3,7226,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,3,sybr50487528
