,Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,col,iptg,sal,dnaseI,growth,rep,ChanStr,end/start
3615,sybr,60,7232,2.0088888888888894,A8,22410,AFU,487,528,JS006,1,0,0,0.0,1,1,sybr60487528,0.8707985234116962
3616,sybr,60,7232,2.0088888888888894,A9,18675,AFU,487,528,JS006,1,0,0,0.25,1,1,sybr60487528,0.7298628209637706
3617,sybr,60,7232,2.0088888888888894,A10,16512,AFU,487,528,JS006,1,0,0,0.5,1,1,sybr60487528,0.6464646464646465
3618,sybr,60,7232,2.0088888888888894,A11,13790,AFU,487,528,JS006,1,0,0,1.0,1,1,sybr60487528,0.547352544256569
3619,sybr,60,7232,2.0088888888888894,A12,11266,AFU,487,528,JS006,1,0,0,2.0,1,1,sybr60487528,0.4617023892463424
3620,sybr,60,7232,2.0088888888888894,B8,22396,AFU,487,528,JS006,1,0,0,0.0,1,2,sybr60487528,0.8709991055108312
3621,sybr,60,7232,2.0088888888888894,B9,18598,AFU,487,528,JS006,1,0,0,0.25,1,2,sybr60487528,0.7187355078064616
3622,sybr,60,7232,2.0088888888888894,B10,16359,AFU,487,528,JS006,1,0,0,0.5,1,2,sybr60487528,0.6371567672833496
3623,sybr,60,7232,2.0088888888888894,B11,14522,AFU,487,528,JS006,1,0,0,1.0,1,2,sybr60487528,0.5677979355645918
3624,sybr,60,7232,2.0088888888888894,B12,12984,AFU,487,528,JS006,1,0,0,2.0,1,2,sybr60487528,0.525668016194332
3625,sybr,60,7232,2.0088888888888894,C8,22502,AFU,487,528,JS006,1,0,0,0.0,1,3,sybr60487528,0.8569578795033894
3626,sybr,60,7232,2.0088888888888894,C9,17069,AFU,487,528,JS006,1,0,0,0.25,1,3,sybr60487528,0.6563232975737302
3627,sybr,60,7232,2.0088888888888894,C10,16272,AFU,487,528,JS006,1,0,0,0.5,1,3,sybr60487528,0.6255574350299862
3628,sybr,60,7232,2.0088888888888894,C11,14049,AFU,487,528,JS006,1,0,0,1.0,1,3,sybr60487528,0.5449361933206625
3629,sybr,60,7232,2.0088888888888894,C12,12323,AFU,487,528,JS006,1,0,0,2.0,1,3,sybr60487528,0.4968951612903226
