Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,col,iptg,sal,dnaseI,growth,weight,lysate_vol,dilution,rep,ChanStr
sybr,50,11,0.0030555555555555557,A1,6996,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,1,sybr50487528
sybr,50,11,0.0030555555555555557,A2,6237,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,1,sybr50487528
sybr,50,11,0.0030555555555555557,A3,6041,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,250,1,sybr50487528
sybr,50,11,0.0030555555555555557,A4,6774,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,1,sybr50487528
sybr,50,11,0.0030555555555555557,A5,6147,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,1,sybr50487528
sybr,50,11,0.0030555555555555557,A6,6007,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,250,1,sybr50487528
sybr,50,11,0.0030555555555555557,A7,6891,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,1,sybr50487528
sybr,50,11,0.0030555555555555557,A8,6274,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,1,sybr50487528
sybr,50,11,0.0030555555555555557,A9,6052,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,250,1,sybr50487528
sybr,50,11,0.0030555555555555557,A10,6956,AFU,487,528,JS006,1,0,0,0,1,190,570,10,1,sybr50487528
sybr,50,11,0.0030555555555555557,A11,6179,AFU,487,528,JS006,1,0,0,0,1,190,570,50,1,sybr50487528
sybr,50,11,0.0030555555555555557,A12,5972,AFU,487,528,JS006,1,0,0,0,1,190,570,250,1,sybr50487528
sybr,50,11,0.0030555555555555557,B1,7192,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,2,sybr50487528
sybr,50,11,0.0030555555555555557,B2,6410,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,2,sybr50487528
sybr,50,11,0.0030555555555555557,B3,6115,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,250,2,sybr50487528
sybr,50,11,0.0030555555555555557,B4,6965,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,2,sybr50487528
sybr,50,11,0.0030555555555555557,B5,6333,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,2,sybr50487528
sybr,50,11,0.0030555555555555557,B6,6049,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,250,2,sybr50487528
sybr,50,11,0.0030555555555555557,B7,6863,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,2,sybr50487528
sybr,50,11,0.0030555555555555557,B8,6280,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,2,sybr50487528
sybr,50,11,0.0030555555555555557,B9,6063,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,250,2,sybr50487528
sybr,50,11,0.0030555555555555557,B10,6801,AFU,487,528,JS006,1,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,11,0.0030555555555555557,B11,6087,AFU,487,528,JS006,1,0,0,0,1,190,570,50,2,sybr50487528
sybr,50,11,0.0030555555555555557,B12,5804,AFU,487,528,JS006,1,0,0,0,1,190,570,250,2,sybr50487528
sybr,50,11,0.0030555555555555557,C1,7267,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,3,sybr50487528
sybr,50,11,0.0030555555555555557,C2,6382,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,3,sybr50487528
sybr,50,11,0.0030555555555555557,C3,5989,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,250,3,sybr50487528
sybr,50,11,0.0030555555555555557,C4,7071,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,3,sybr50487528
sybr,50,11,0.0030555555555555557,C5,6224,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,3,sybr50487528
sybr,50,11,0.0030555555555555557,C6,5863,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,250,3,sybr50487528
sybr,50,11,0.0030555555555555557,C7,6928,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,3,sybr50487528
sybr,50,11,0.0030555555555555557,C8,6348,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,3,sybr50487528
sybr,50,11,0.0030555555555555557,C9,6120,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,250,3,sybr50487528
sybr,50,11,0.0030555555555555557,C10,6811,AFU,487,528,JS006,1,0,0,0,1,190,570,10,3,sybr50487528
sybr,50,11,0.0030555555555555557,C11,6194,AFU,487,528,JS006,1,0,0,0,1,190,570,50,3,sybr50487528
sybr,50,11,0.0030555555555555557,C12,5828,AFU,487,528,JS006,1,0,0,0,1,190,570,250,3,sybr50487528
sybr,50,71,0.01972222222222222,A1,7181,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,1,sybr50487528
sybr,50,71,0.01972222222222222,A2,6254,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,1,sybr50487528
sybr,50,71,0.01972222222222222,A3,6049,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,250,1,sybr50487528
sybr,50,71,0.01972222222222222,A4,6896,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,1,sybr50487528
sybr,50,71,0.01972222222222222,A5,6148,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,1,sybr50487528
sybr,50,71,0.01972222222222222,A6,6143,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,250,1,sybr50487528
sybr,50,71,0.01972222222222222,A7,7067,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,1,sybr50487528
sybr,50,71,0.01972222222222222,A8,6389,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,1,sybr50487528
sybr,50,71,0.01972222222222222,A9,6189,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,250,1,sybr50487528
sybr,50,71,0.01972222222222222,A10,6958,AFU,487,528,JS006,1,0,0,0,1,190,570,10,1,sybr50487528
sybr,50,71,0.01972222222222222,A11,6230,AFU,487,528,JS006,1,0,0,0,1,190,570,50,1,sybr50487528
sybr,50,71,0.01972222222222222,A12,6022,AFU,487,528,JS006,1,0,0,0,1,190,570,250,1,sybr50487528
sybr,50,71,0.01972222222222222,B1,7116,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,2,sybr50487528
sybr,50,71,0.01972222222222222,B2,6370,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,2,sybr50487528
sybr,50,71,0.01972222222222222,B3,6214,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,250,2,sybr50487528
sybr,50,71,0.01972222222222222,B4,6953,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,10,2,sybr50487528
sybr,50,71,0.01972222222222222,B5,6416,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,50,2,sybr50487528
sybr,50,71,0.01972222222222222,B6,6092,AFU,487,528,split pir 2x bxb1,2,10,20,0,1,50,150,250,2,sybr50487528
sybr,50,71,0.01972222222222222,B7,7046,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,10,2,sybr50487528
sybr,50,71,0.01972222222222222,B8,6348,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,50,2,sybr50487528
sybr,50,71,0.01972222222222222,B9,6181,AFU,487,528,split pir 2x bxb1,3,10,20,0,1,90,270,250,2,sybr50487528
sybr,50,71,0.01972222222222222,B10,6911,AFU,487,528,JS006,1,0,0,0,1,190,570,10,2,sybr50487528
sybr,50,71,0.01972222222222222,B11,6165,AFU,487,528,JS006,1,0,0,0,1,190,570,50,2,sybr50487528
sybr,50,71,0.01972222222222222,B12,6003,AFU,487,528,JS006,1,0,0,0,1,190,570,250,2,sybr50487528
sybr,50,71,0.01972222222222222,C1,7192,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,10,3,sybr50487528
sybr,50,71,0.01972222222222222,C2,6295,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,50,3,sybr50487528
sybr,50,71,0.01972222222222222,C3,5980,AFU,487,528,split pir 2x bxb1,1,10,20,0,1,110,330,250,3,sybr50487528
