well,strain,col,iptg,sal,dnaseI,growth,weight,lysate_vol,dilution,rep
A1,split pir 2x bxb1,1,10,20,0,1,110,330,10,1
A2,split pir 2x bxb1,1,10,20,0,1,110,330,50,1
A3,split pir 2x bxb1,1,10,20,0,1,110,330,250,1
A4,split pir 2x bxb1,2,10,20,0,1,50,150,10,1
A5,split pir 2x bxb1,2,10,20,0,1,50,150,50,1
A6,split pir 2x bxb1,2,10,20,0,1,50,150,250,1
A7,split pir 2x bxb1,3,10,20,0,1,90,270,10,1
A8,split pir 2x bxb1,3,10,20,0,1,90,270,50,1
A9,split pir 2x bxb1,3,10,20,0,1,90,270,250,1
A10,JS006,1,0,0,0,1,190,570,10,1
A11,JS006,1,0,0,0,1,190,570,50,1
A12,JS006,1,0,0,0,1,190,570,250,1
B1,split pir 2x bxb1,1,10,20,0,1,110,330,10,2
B2,split pir 2x bxb1,1,10,20,0,1,110,330,50,2
B3,split pir 2x bxb1,1,10,20,0,1,110,330,250,2
B4,split pir 2x bxb1,2,10,20,0,1,50,150,10,2
B5,split pir 2x bxb1,2,10,20,0,1,50,150,50,2
B6,split pir 2x bxb1,2,10,20,0,1,50,150,250,2
B7,split pir 2x bxb1,3,10,20,0,1,90,270,10,2
B8,split pir 2x bxb1,3,10,20,0,1,90,270,50,2
B9,split pir 2x bxb1,3,10,20,0,1,90,270,250,2
B10,JS006,1,0,0,0,1,190,570,10,2
B11,JS006,1,0,0,0,1,190,570,50,2
B12,JS006,1,0,0,0,1,190,570,250,2
C1,split pir 2x bxb1,1,10,20,0,1,110,330,10,3
C2,split pir 2x bxb1,1,10,20,0,1,110,330,50,3
C3,split pir 2x bxb1,1,10,20,0,1,110,330,250,3
C4,split pir 2x bxb1,2,10,20,0,1,50,150,10,3
C5,split pir 2x bxb1,2,10,20,0,1,50,150,50,3
C6,split pir 2x bxb1,2,10,20,0,1,50,150,250,3
C7,split pir 2x bxb1,3,10,20,0,1,90,270,10,3
C8,split pir 2x bxb1,3,10,20,0,1,90,270,50,3
C9,split pir 2x bxb1,3,10,20,0,1,90,270,250,3
C10,JS006,1,0,0,0,1,190,570,10,3
C11,JS006,1,0,0,0,1,190,570,50,3
C12,JS006,1,0,0,0,1,190,570,250,3
