Application: Tecan i-control,,,,"Tecan i-control , 2.0.10.0",,,,,,,
Device: infinite 200Pro,,,,Serial number: 2107000449,,,,Serial number of connected stacker:,,,
Firmware: V_5.31_04/18_InfiniteRX (Mar 28 2018/16.41.26),,,,"MAI, V_5.31_04/18_InfiniteRX (Mar 28 2018/16.41.26)",,,,,,,
,,,,,,,,,,,
Date:,6/3/22,,,,,,,,,,
Time:,4:35:58 PM,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
System,,,,LIUSYNEVOLAB,,,,,,,
User,,,,Liusynevolab\Liu Syn Evo Lab,,,,,,,
Plate,,,,Corning 96 Flat Bottom Black Polystyrene Cat. No.: 3631 [COR96fb clear bottom.pdfx],,,,,,,
Plate-ID (Stacker),,,,,,,,,,,
,,,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,,,
,,,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,,,
Kinetic,,,,,,,,,,,
Shaking (Linear) Duration:,,,,10,s,,,,,,
Shaking (Linear) Amplitude:,,,,4,mm,,,,,,
Absorbance,,,,,,,,,,,
Shaking (Linear) Duration:,,,,10,s,,,,,,
Shaking (Linear) Amplitude:,,,,4,mm,,,,,,
Fluorescence,,,,,,,,,,,
Shaking (Linear) Duration:,,,,10,s,,,,,,
Shaking (Linear) Amplitude:,,,,4,mm,,,,,,
Fluorescence,,,,,,,,,,,
Shaking (Linear) Duration:,,,,300,s,,,,,,
Shaking (Linear) Amplitude:,,,,3,mm,,,,,,
Shaking (Orbital) Duration:,,,,60,s,,,,,,
Shaking (Orbital) Amplitude:,,,,3,mm,,,,,,
,,,,,,,,,,,
3 Labels,,,,,,,,,,,
Kinetic Measurement,,,,,,,,,,,
Kinetic duration,,,,08:00:00,,,,,,,
Interval Time,,,,00:10:00,,,,,,,
Mode,,,,Absorbance,,,,,,,
Measurement Wavelength,,,,700,nm,,,,,,
Bandwidth,,,,9,nm,,,,,,
Number of Flashes,,,,20,,,,,,,
Settle Time,,,,0,ms,,,,,,
Mode,,,,Fluorescence Bottom Reading,,,,,,,
Excitation Wavelength,,,,565,nm,,,,,,
Emission Wavelength,,,,595,nm,,,,,,
Excitation Bandwidth,,,,9,nm,,,,,,
Emission Bandwidth,,,,20,nm,,,,,,
Gain,,,,140,Manual,,,,,,
Number of Flashes,,,,20,,,,,,,
Integration Time,,,,20,µs,,,,,,
Lag Time,,,,0,µs,,,,,,
Settle Time,,,,0,ms,,,,,,
Mode,,,,Fluorescence Bottom Reading,,,,,,,
Excitation Wavelength,,,,485,nm,,,,,,
Emission Wavelength,,,,515,nm,,,,,,
Excitation Bandwidth,,,,9,nm,,,,,,
Emission Bandwidth,,,,20,nm,,,,,,
Gain,,,,80,Manual,,,,,,
Number of Flashes,,,,20,,,,,,,
Integration Time,,,,20,µs,,,,,,
Lag Time,,,,0,µs,,,,,,
Settle Time,,,,0,ms,,,,,,
Start Time:,6/3/2022 4:35:58 PM,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
OD700,,,,,,,,,,,
Cycle Nr.,1,,,,,,,,,,
Time [s],0,,,,,,,,,,
Temp. [°C],37.7,,,,,,,,,,
A1,0.079700001,,,,,,,,,,
A2,0.0766,,,,,,,,,,
A3,0.076200001,,,,,,,,,,
A4,0.076200001,,,,,,,,,,
A5,0.079700001,,,,,,,,,,
A6,0.077299997,,,,,,,,,,
A7,0.075800002,,,,,,,,,,
A8,0.076200001,,,,,,,,,,
A9,0.075900003,,,,,,,,,,
A10,0.076800004,,,,,,,,,,
A11,0.075300001,,,,,,,,,,
A12,0.077,,,,,,,,,,
B1,0.076800004,,,,,,,,,,
B2,0.0779,,,,,,,,,,
B3,0.077600002,,,,,,,,,,
B4,0.0766,,,,,,,,,,
B5,0.078299999,,,,,,,,,,
B6,0.077699997,,,,,,,,,,
B7,0.075099997,,,,,,,,,,
B8,0.076200001,,,,,,,,,,
B9,0.077100001,,,,,,,,,,
B10,0.076399997,,,,,,,,,,
B11,0.076200001,,,,,,,,,,
B12,0.075900003,,,,,,,,,,
C1,0.076899998,,,,,,,,,,
C2,0.0779,,,,,,,,,,
C3,0.077500001,,,,,,,,,,
C4,0.076200001,,,,,,,,,,
C5,0.080200002,,,,,,,,,,
C6,0.076399997,,,,,,,,,,
C7,0.075499997,,,,,,,,,,
C8,0.076099999,,,,,,,,,,
C9,0.075999998,,,,,,,,,,
C10,0.076300003,,,,,,,,,,
C11,0.077100001,,,,,,,,,,
C12,0.075499997,,,,,,,,,,
D1,0.076499999,,,,,,,,,,
D2,0.076800004,,,,,,,,,,
D3,0.076499999,,,,,,,,,,
D4,0.077100001,,,,,,,,,,
D5,0.077500001,,,,,,,,,,
D6,0.078000002,,,,,,,,,,
D7,0.075599998,,,,,,,,,,
D8,0.0757,,,,,,,,,,
D9,0.075499997,,,,,,,,,,
D10,0.075999998,,,,,,,,,,
D11,0.075800002,,,,,,,,,,
D12,0.075400002,,,,,,,,,,
E1,0.077200003,,,,,,,,,,
E2,0.076399997,,,,,,,,,,
E3,0.076200001,,,,,,,,,,
E4,0.076099999,,,,,,,,,,
E5,0.080399998,,,,,,,,,,
E6,0.075000003,,,,,,,,,,
E7,0.074100003,,,,,,,,,,
E8,0.0748,,,,,,,,,,
E9,0.0744,,,,,,,,,,
E10,0.074900001,,,,,,,,,,
E11,0.074600004,,,,,,,,,,
E12,0.074100003,,,,,,,,,,
F1,0.077100001,,,,,,,,,,
F2,0.075099997,,,,,,,,,,
F3,0.0748,,,,,,,,,,
F4,0.076099999,,,,,,,,,,
F5,0.076099999,,,,,,,,,,
F6,0.076399997,,,,,,,,,,
F7,0.075599998,,,,,,,,,,
F8,0.074199997,,,,,,,,,,
F9,0.074699998,,,,,,,,,,
F10,0.074500002,,,,,,,,,,
F11,0.075400002,,,,,,,,,,
F12,0.073899999,,,,,,,,,,
G1,0.077200003,,,,,,,,,,
G2,0.075199999,,,,,,,,,,
G3,0.076899998,,,,,,,,,,
G4,0.0766,,,,,,,,,,
G5,0.077,,,,,,,,,,
G6,0.076099999,,,,,,,,,,
G7,0.075199999,,,,,,,,,,
G8,0.072999999,,,,,,,,,,
G9,0.073600002,,,,,,,,,,
G10,0.0735,,,,,,,,,,
