channel,mode,excitation,emission,num_flashes,gain,time_sec,time_h,well,measurement,strain,chlor,sal,iptg,rep
OD700,Absorbance,700,-1,20,-1,0.0,0.0,A1,0.181899995,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,600.5,0.16680555555555554,A1,0.101499997,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,1200.8,0.33355555555555555,A1,0.101400003,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,1800.9,0.50025,A1,0.107000001,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,2401.0,0.6669444444444445,A1,0.1118,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,3001.0,0.8336111111111111,A1,0.1193,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,3600.9,1.00025,A1,0.128900006,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,4201.0,1.1669444444444443,A1,0.140200004,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,4801.3,1.3336944444444445,A1,0.154799998,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,5401.3,1.5003611111111113,A1,0.173899993,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,6001.4,1.6670555555555555,A1,0.1954,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,6601.5,1.83375,A1,0.223900005,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,7201.4,2.0003888888888888,A1,0.256099999,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,7801.5,2.1670833333333333,A1,0.290300012,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,8401.7,2.3338055555555557,A1,0.325500011,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,9001.8,2.5005,A1,0.356599987,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,9601.9,2.6671944444444446,A1,0.378800005,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,10202.0,2.8338888888888887,A1,0.402999997,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,10802.1,3.000583333333333,A1,0.428600013,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,11402.0,3.167222222222222,A1,0.449900001,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,12002.2,3.333944444444445,A1,0.470099986,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,12602.3,3.5006388888888886,A1,0.491299987,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,13202.4,3.667333333333333,A1,0.514599979,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,13802.5,3.8340277777777776,A1,0.537199974,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,14402.5,4.000694444444444,A1,0.561699986,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,15002.5,4.167361111111111,A1,0.583800018,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,15602.7,4.334083333333334,A1,0.601899981,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,16202.8,4.500777777777778,A1,0.619599998,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,16802.9,4.667472222222222,A1,0.635299981,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,17402.9,4.834138888888889,A1,0.651300013,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,18003.0,5.0008333333333335,A1,0.665300012,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,18602.9,5.167472222222222,A1,0.679199994,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,19203.2,5.334222222222222,A1,0.692200005,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,19803.3,5.500916666666667,A1,0.704100013,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,20403.3,5.667583333333334,A1,0.715600014,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,21003.4,5.8342777777777775,A1,0.728900015,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,21603.5,6.000972222222222,A1,0.7403,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,22203.4,6.167611111111111,A1,0.750699997,diff1X,-,0,10,1
OD700,Absorbance,700,-1,20,-1,22803.7,6.334361111111111,A1,0.764699996,diff1X,-,0,10,1
