well,strain,chlor,sal,iptg,rep
A1,diff1X,-,0,10,1
A2,diff1X,-,0,10,2
A3,diff1X,-,0,10,3
A4,diff2X,-,0,10,1
A5,diff2X,-,0,10,2
A6,diff2X,-,0,10,3
A7,diff1X,-,0,50,1
A8,diff1X,-,0,50,2
A9,diff1X,-,0,50,3
A10,diff2X,-,0,50,1
A11,diff2X,-,0,50,2
A12,diff2X,-,0,50,3
B1,diff1X,-,10,10,1
B2,diff1X,-,10,10,2
B3,diff1X,-,10,10,3
B4,diff2X,-,10,10,1
B5,diff2X,-,10,10,2
B6,diff2X,-,10,10,3
B7,diff1X,-,10,50,1
B8,diff1X,-,10,50,2
B9,diff1X,-,10,50,3
B10,diff2X,-,10,50,1
B11,diff2X,-,10,50,2
B12,diff2X,-,10,50,3
C1,diff1X,-,20,10,1
C2,diff1X,-,20,10,2
C3,diff1X,-,20,10,3
C4,diff2X,-,20,10,1
C5,diff2X,-,20,10,2
C6,diff2X,-,20,10,3
C7,diff1X,-,20,50,1
C8,diff1X,-,20,50,2
C9,diff1X,-,20,50,3
C10,diff2X,-,20,50,1
C11,diff2X,-,20,50,2
C12,diff2X,-,20,50,3
D1,diff1X,-,30,10,1
D2,diff1X,-,30,10,2
D3,diff1X,-,30,10,3
D4,diff2X,-,30,10,1
D5,diff2X,-,30,10,2
D6,diff2X,-,30,10,3
D7,diff1X,-,30,50,1
D8,diff1X,-,30,50,2
D9,diff1X,-,30,50,3
D10,diff2X,-,30,50,1
D11,diff2X,-,30,50,2
D12,diff2X,-,30,50,3
E1,diff1X,+,0,10,1
E2,diff1X,+,0,10,2
E3,diff1X,+,0,10,3
E4,diff2X,+,0,10,1
E5,diff2X,+,0,10,2
E6,diff2X,+,0,10,3
E7,diff1X,+,0,50,1
E8,diff1X,+,0,50,2
E9,diff1X,+,0,50,3
E10,diff2X,+,0,50,1
E11,diff2X,+,0,50,2
E12,diff2X,+,0,50,3
F1,diff1X,+,10,10,1
F2,diff1X,+,10,10,2
F3,diff1X,+,10,10,3
F4,diff2X,+,10,10,1
F5,diff2X,+,10,10,2
F6,diff2X,+,10,10,3
F7,diff1X,+,10,50,1
F8,diff1X,+,10,50,2
F9,diff1X,+,10,50,3
F10,diff2X,+,10,50,1
F11,diff2X,+,10,50,2
F12,diff2X,+,10,50,3
G1,diff1X,+,20,10,1
G2,diff1X,+,20,10,2
G3,diff1X,+,20,10,3
G4,diff2X,+,20,10,1
G5,diff2X,+,20,10,2
G6,diff2X,+,20,10,3
G7,diff1X,+,20,50,1
G8,diff1X,+,20,50,2
G9,diff1X,+,20,50,3
G10,diff2X,+,20,50,1
G11,diff2X,+,20,50,2
G12,diff2X,+,20,50,3
H1,diff1X,+,30,10,1
H2,diff1X,+,30,10,2
H3,diff1X,+,30,10,3
H4,diff2X,+,30,10,1
H5,diff2X,+,30,10,2
H6,diff2X,+,30,10,3
H7,diff1X,+,30,50,1
H8,diff1X,+,30,50,2
H9,diff1X,+,30,50,3
H10,diff2X,+,30,50,1
H11,diff2X,+,30,50,2
H12,diff2X,+,30,50,3
