Replicate,Strain,Differentiators/Producers,Non-differentiators,Non-producers/lost R6K
1,D1x,0,7.69E-01,0.231316726
2,D1x,0,6.79E-01,0.321057602
3,D1x,0,7.25E-01,0.274636511
1,D2x,0.358266057,1.39E-03,0.640339785
2,D2x,0.171796184,2.92E-04,0.827911397
3,D2x,0.012690355,1.27E-08,0.987309632
1,TD1x,0,1.00E+00,0
2,TD1x,0,1.00E+00,0
3,TD1x,0.001806685,9.98E-01,0
1,TD2x,0.737588652,2.06E-01,0.056737589
2,TD2x,0.272,4.88E-01,0.24
3,TD2x,0.256410256,7.05E-01,0.038461538
1,naive1X,0.000832639,,0.999167361
2,naive1X,0.007402423,,0.992597577
3,naive1X,0.008,,0.992
1,naive2X,0,,1
2,naive2X,0.003818695,,0.996181305
3,naive2X,0.002755544,,0.997244456
