well,Plate,Cells | Freq. of Parent (%),mScarlet-/GFP+_percent,mScarlet-/GFP+_Geometric Mean (GFP),mScarlet-/GFP+_Geometric Mean (mScarlet),mScarlet+/GFP+_percent,mScarlet+/GFP+_Geometric Mean (GFP),mScarlet+/GFP+_Geometric Mean (mScarlet),mScarlet+/GFP-_percent,mScarlet+/GFP-_Geometric Mean (GFP),mScarlet+/GFP-_Geometric Mean (mScarlet),mScarlet-/GFP-_percent,mScarlet-/GFP-_Geometric Mean (GFP),mScarlet-/GFP-_Geometric Mean (mScarlet)
A1,2,49.1,0,n/a,n/a,0.11,19322,10912,99.1,727,14273,0.78,714,209
A2,2,49.1,9.16E-03,49364,90.4,0.082,26132,9425,98.6,724,13867,1.33,627,276
A3,2,41.2,0.032,9501,250,0.26,8327,11621,89,1431,10119,10.7,1259,293
A4,2,37.3,0.17,7914,268,0.19,7686,13800,55.9,1514,9979,43.7,1381,217
A5,2,29.1,0.052,7935,270,0.15,12193,15074,70.9,1533,5851,28.9,1383,255
A6,2,29.1,0.078,10013,340,0.17,10478,15492,67.7,1413,12247,32,1231,209
A7,2,42,0,n/a,n/a,0.027,29936,10440,98.5,701,18445,1.51,543,233
A8,2,43,0.01,89942,492,0.042,15569,27332,98,693,18737,1.91,567,226
A9,2,34.5,8.45E-03,8063,166,0.14,9894,14862,89.6,1097,11476,10.3,983,257
A10,2,32.2,0.036,6736,512,0.054,10060,19773,61.1,1231,19946,38.8,1033,188
A11,2,29.2,0.02,7959,533,0.14,11175,34490,80.9,1199,28414,19,957,179
A12,2,41.9,0.029,13198,100,0.073,7875,41684,75.2,1323,46154,24.7,1052,137
B1,2,51.7,0.12,31998,348,12.7,38385,13045,86.2,788,16267,0.97,688,267
B2,2,42.8,0.35,41209,287,18.8,36935,12067,79.4,784,14460,1.48,670,289
B3,2,36.2,1.28,29491,318,8.64,32128,6835,77,1349,7467,13.1,1216,345
B4,2,38.8,11.1,28364,221,12.4,28018,10404,38.1,1383,11734,38.4,1246,215
B5,2,40.8,5.19,30610,250,11.9,30069,9146,56,1414,10856,26.9,1311,240
B6,2,32,7.64,27696,230,14.3,27228,11168,48.9,1404,15104,29.2,1266,227
B7,2,37.8,0.3,33669,201,15.5,32685,18360,81.9,747,18343,2.24,634,258
B8,2,41.9,0.23,29915,254,15.4,33772,17961,82.4,720,18245,2,571,228
B9,2,30.5,1.42,29696,252,10.7,29367,11032,74.9,1146,12371,12.9,1021,264
B10,2,32.8,11.6,28175,204,15.9,29599,15425,39.1,1229,17822,33.3,1032,199
B11,2,32.1,8.53,28375,194,24.1,28221,16829,49.1,1290,22714,18.2,1109,200
