Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,kan,carb,spent_media,percent,rep,ChanStr
sfGFP,61,518,0.1438888888888889,A1,184,AFU,485,515,naive HCA,-,+,-,0,1,sfGFP61485515
sfGFP,61,518,0.1438888888888889,A2,170,AFU,485,515,naive HCA,-,+,-,0,2,sfGFP61485515
sfGFP,61,518,0.1438888888888889,A3,165,AFU,485,515,naive HCA,-,+,-,0,3,sfGFP61485515
sfGFP,61,518,0.1438888888888889,A4,155,AFU,485,515,naive HCK,+,-,-,0,1,sfGFP61485515
sfGFP,61,518,0.1438888888888889,A5,156,AFU,485,515,naive HCK,+,-,-,0,2,sfGFP61485515
sfGFP,61,518,0.1438888888888889,A6,155,AFU,485,515,naive HCK,+,-,-,0,3,sfGFP61485515
sfGFP,61,518,0.1438888888888889,B1,163,AFU,485,515,naive HCA,+,+,-,0,1,sfGFP61485515
sfGFP,61,518,0.1438888888888889,B2,165,AFU,485,515,naive HCA,+,+,-,0,2,sfGFP61485515
sfGFP,61,518,0.1438888888888889,B3,150,AFU,485,515,naive HCA,+,+,-,0,3,sfGFP61485515
sfGFP,61,518,0.1438888888888889,B4,145,AFU,485,515,naive HCK,+,+,-,0,1,sfGFP61485515
sfGFP,61,518,0.1438888888888889,B5,140,AFU,485,515,naive HCK,+,+,-,0,2,sfGFP61485515
sfGFP,61,518,0.1438888888888889,B6,158,AFU,485,515,naive HCK,+,+,-,0,3,sfGFP61485515
sfGFP,61,518,0.1438888888888889,C1,166,AFU,485,515,naive HCA,+,+,kan,1,1,sfGFP61485515
sfGFP,61,518,0.1438888888888889,C2,159,AFU,485,515,naive HCA,+,+,kan,1,2,sfGFP61485515
sfGFP,61,518,0.1438888888888889,C3,156,AFU,485,515,naive HCA,+,+,kan,1,3,sfGFP61485515
sfGFP,61,518,0.1438888888888889,C4,148,AFU,485,515,naive HCK,+,+,carb,1,1,sfGFP61485515
sfGFP,61,518,0.1438888888888889,C5,134,AFU,485,515,naive HCK,+,+,carb,1,2,sfGFP61485515
sfGFP,61,518,0.1438888888888889,C6,151,AFU,485,515,naive HCK,+,+,carb,1,3,sfGFP61485515
sfGFP,61,518,0.1438888888888889,D1,159,AFU,485,515,naive HCA,+,+,kan,2,1,sfGFP61485515
sfGFP,61,518,0.1438888888888889,D2,149,AFU,485,515,naive HCA,+,+,kan,2,2,sfGFP61485515
sfGFP,61,518,0.1438888888888889,D3,152,AFU,485,515,naive HCA,+,+,kan,2,3,sfGFP61485515
sfGFP,61,518,0.1438888888888889,D4,152,AFU,485,515,naive HCK,+,+,carb,2,1,sfGFP61485515
sfGFP,61,518,0.1438888888888889,D5,155,AFU,485,515,naive HCK,+,+,carb,2,2,sfGFP61485515
sfGFP,61,518,0.1438888888888889,D6,135,AFU,485,515,naive HCK,+,+,carb,2,3,sfGFP61485515
sfGFP,61,518,0.1438888888888889,E1,164,AFU,485,515,naive HCA,+,+,kan,5,1,sfGFP61485515
sfGFP,61,518,0.1438888888888889,E2,148,AFU,485,515,naive HCA,+,+,kan,5,2,sfGFP61485515
sfGFP,61,518,0.1438888888888889,E3,153,AFU,485,515,naive HCA,+,+,kan,5,3,sfGFP61485515
sfGFP,61,518,0.1438888888888889,E4,156,AFU,485,515,naive HCK,+,+,carb,5,1,sfGFP61485515
sfGFP,61,518,0.1438888888888889,E5,143,AFU,485,515,naive HCK,+,+,carb,5,2,sfGFP61485515
sfGFP,61,518,0.1438888888888889,E6,143,AFU,485,515,naive HCK,+,+,carb,5,3,sfGFP61485515
sfGFP,61,518,0.1438888888888889,F1,168,AFU,485,515,naive HCA,+,+,kan,10,1,sfGFP61485515
sfGFP,61,518,0.1438888888888889,F2,155,AFU,485,515,naive HCA,+,+,kan,10,2,sfGFP61485515
sfGFP,61,518,0.1438888888888889,F3,160,AFU,485,515,naive HCA,+,+,kan,10,3,sfGFP61485515
sfGFP,61,518,0.1438888888888889,F4,148,AFU,485,515,naive HCK,+,+,carb,10,1,sfGFP61485515
sfGFP,61,518,0.1438888888888889,F5,140,AFU,485,515,naive HCK,+,+,carb,10,2,sfGFP61485515
sfGFP,61,518,0.1438888888888889,F6,139,AFU,485,515,naive HCK,+,+,carb,10,3,sfGFP61485515
sfGFP,61,518,0.1438888888888889,G1,177,AFU,485,515,naive HCA + JS006 HCK,+,+,-,0,1,sfGFP61485515
sfGFP,61,518,0.1438888888888889,G2,155,AFU,485,515,naive HCA + JS006 HCK,+,+,-,0,2,sfGFP61485515
sfGFP,61,518,0.1438888888888889,G3,147,AFU,485,515,naive HCA + JS006 HCK,+,+,-,0,3,sfGFP61485515
sfGFP,61,518,0.1438888888888889,G4,177,AFU,485,515,naive HCK + JS006 HCA,+,+,-,0,1,sfGFP61485515
sfGFP,61,518,0.1438888888888889,G5,149,AFU,485,515,naive HCK + JS006 HCA,+,+,-,0,2,sfGFP61485515
sfGFP,61,518,0.1438888888888889,G6,142,AFU,485,515,naive HCK + JS006 HCA,+,+,-,0,3,sfGFP61485515
sfGFP,61,518,0.1438888888888889,H1,73,AFU,485,515,JS006 HCK,+,-,-,0,1,sfGFP61485515
sfGFP,61,518,0.1438888888888889,H2,77,AFU,485,515,JS006 HCK,+,-,-,0,2,sfGFP61485515
sfGFP,61,518,0.1438888888888889,H3,72,AFU,485,515,JS006 HCK,+,-,-,0,3,sfGFP61485515
sfGFP,61,518,0.1438888888888889,H4,70,AFU,485,515,JS006 HCA,-,+,-,0,1,sfGFP61485515
sfGFP,61,518,0.1438888888888889,H5,82,AFU,485,515,JS006 HCA,-,+,-,0,2,sfGFP61485515
sfGFP,61,518,0.1438888888888889,H6,83,AFU,485,515,JS006 HCA,-,+,-,0,3,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,A1,193,AFU,485,515,naive HCA,-,+,-,0,1,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,A2,167,AFU,485,515,naive HCA,-,+,-,0,2,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,A3,175,AFU,485,515,naive HCA,-,+,-,0,3,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,A4,164,AFU,485,515,naive HCK,+,-,-,0,1,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,A5,154,AFU,485,515,naive HCK,+,-,-,0,2,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,A6,156,AFU,485,515,naive HCK,+,-,-,0,3,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,B1,158,AFU,485,515,naive HCA,+,+,-,0,1,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,B2,159,AFU,485,515,naive HCA,+,+,-,0,2,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,B3,163,AFU,485,515,naive HCA,+,+,-,0,3,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,B4,154,AFU,485,515,naive HCK,+,+,-,0,1,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,B5,150,AFU,485,515,naive HCK,+,+,-,0,2,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,B6,161,AFU,485,515,naive HCK,+,+,-,0,3,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,C1,156,AFU,485,515,naive HCA,+,+,kan,1,1,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,C2,159,AFU,485,515,naive HCA,+,+,kan,1,2,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,C3,148,AFU,485,515,naive HCA,+,+,kan,1,3,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,C4,151,AFU,485,515,naive HCK,+,+,carb,1,1,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,C5,144,AFU,485,515,naive HCK,+,+,carb,1,2,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,C6,154,AFU,485,515,naive HCK,+,+,carb,1,3,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,D1,173,AFU,485,515,naive HCA,+,+,kan,2,1,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,D2,159,AFU,485,515,naive HCA,+,+,kan,2,2,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,D3,166,AFU,485,515,naive HCA,+,+,kan,2,3,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,D4,155,AFU,485,515,naive HCK,+,+,carb,2,1,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,D5,152,AFU,485,515,naive HCK,+,+,carb,2,2,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,D6,162,AFU,485,515,naive HCK,+,+,carb,2,3,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,E1,167,AFU,485,515,naive HCA,+,+,kan,5,1,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,E2,170,AFU,485,515,naive HCA,+,+,kan,5,2,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,E3,166,AFU,485,515,naive HCA,+,+,kan,5,3,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,E4,160,AFU,485,515,naive HCK,+,+,carb,5,1,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,E5,157,AFU,485,515,naive HCK,+,+,carb,5,2,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,E6,151,AFU,485,515,naive HCK,+,+,carb,5,3,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,F1,165,AFU,485,515,naive HCA,+,+,kan,10,1,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,F2,174,AFU,485,515,naive HCA,+,+,kan,10,2,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,F3,165,AFU,485,515,naive HCA,+,+,kan,10,3,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,F4,149,AFU,485,515,naive HCK,+,+,carb,10,1,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,F5,158,AFU,485,515,naive HCK,+,+,carb,10,2,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,F6,159,AFU,485,515,naive HCK,+,+,carb,10,3,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,G1,180,AFU,485,515,naive HCA + JS006 HCK,+,+,-,0,1,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,G2,172,AFU,485,515,naive HCA + JS006 HCK,+,+,-,0,2,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,G3,162,AFU,485,515,naive HCA + JS006 HCK,+,+,-,0,3,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,G4,152,AFU,485,515,naive HCK + JS006 HCA,+,+,-,0,1,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,G5,155,AFU,485,515,naive HCK + JS006 HCA,+,+,-,0,2,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,G6,160,AFU,485,515,naive HCK + JS006 HCA,+,+,-,0,3,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,H1,67,AFU,485,515,JS006 HCK,+,-,-,0,1,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,H2,83,AFU,485,515,JS006 HCK,+,-,-,0,2,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,H3,75,AFU,485,515,JS006 HCK,+,-,-,0,3,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,H4,74,AFU,485,515,JS006 HCA,-,+,-,0,1,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,H5,76,AFU,485,515,JS006 HCA,-,+,-,0,2,sfGFP61485515
sfGFP,61,1118,0.31055555555555553,H6,83,AFU,485,515,JS006 HCA,-,+,-,0,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,A1,184,AFU,485,515,naive HCA,-,+,-,0,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,A2,175,AFU,485,515,naive HCA,-,+,-,0,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,A3,174,AFU,485,515,naive HCA,-,+,-,0,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,A4,165,AFU,485,515,naive HCK,+,-,-,0,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,A5,148,AFU,485,515,naive HCK,+,-,-,0,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,A6,162,AFU,485,515,naive HCK,+,-,-,0,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,B1,170,AFU,485,515,naive HCA,+,+,-,0,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,B2,177,AFU,485,515,naive HCA,+,+,-,0,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,B3,170,AFU,485,515,naive HCA,+,+,-,0,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,B4,156,AFU,485,515,naive HCK,+,+,-,0,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,B5,158,AFU,485,515,naive HCK,+,+,-,0,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,B6,157,AFU,485,515,naive HCK,+,+,-,0,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,C1,164,AFU,485,515,naive HCA,+,+,kan,1,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,C2,170,AFU,485,515,naive HCA,+,+,kan,1,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,C3,173,AFU,485,515,naive HCA,+,+,kan,1,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,C4,160,AFU,485,515,naive HCK,+,+,carb,1,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,C5,163,AFU,485,515,naive HCK,+,+,carb,1,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,C6,168,AFU,485,515,naive HCK,+,+,carb,1,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,D1,169,AFU,485,515,naive HCA,+,+,kan,2,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,D2,171,AFU,485,515,naive HCA,+,+,kan,2,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,D3,165,AFU,485,515,naive HCA,+,+,kan,2,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,D4,166,AFU,485,515,naive HCK,+,+,carb,2,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,D5,154,AFU,485,515,naive HCK,+,+,carb,2,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,D6,148,AFU,485,515,naive HCK,+,+,carb,2,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,E1,164,AFU,485,515,naive HCA,+,+,kan,5,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,E2,179,AFU,485,515,naive HCA,+,+,kan,5,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,E3,171,AFU,485,515,naive HCA,+,+,kan,5,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,E4,159,AFU,485,515,naive HCK,+,+,carb,5,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,E5,159,AFU,485,515,naive HCK,+,+,carb,5,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,E6,157,AFU,485,515,naive HCK,+,+,carb,5,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,F1,165,AFU,485,515,naive HCA,+,+,kan,10,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,F2,165,AFU,485,515,naive HCA,+,+,kan,10,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,F3,170,AFU,485,515,naive HCA,+,+,kan,10,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,F4,165,AFU,485,515,naive HCK,+,+,carb,10,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,F5,155,AFU,485,515,naive HCK,+,+,carb,10,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,F6,152,AFU,485,515,naive HCK,+,+,carb,10,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,G1,181,AFU,485,515,naive HCA + JS006 HCK,+,+,-,0,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,G2,167,AFU,485,515,naive HCA + JS006 HCK,+,+,-,0,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,G3,166,AFU,485,515,naive HCA + JS006 HCK,+,+,-,0,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,G4,161,AFU,485,515,naive HCK + JS006 HCA,+,+,-,0,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,G5,162,AFU,485,515,naive HCK + JS006 HCA,+,+,-,0,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,G6,159,AFU,485,515,naive HCK + JS006 HCA,+,+,-,0,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,H1,71,AFU,485,515,JS006 HCK,+,-,-,0,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,H2,71,AFU,485,515,JS006 HCK,+,-,-,0,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,H3,75,AFU,485,515,JS006 HCK,+,-,-,0,3,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,H4,70,AFU,485,515,JS006 HCA,-,+,-,0,1,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,H5,70,AFU,485,515,JS006 HCA,-,+,-,0,2,sfGFP61485515
sfGFP,61,1718,0.4772222222222222,H6,60,AFU,485,515,JS006 HCA,-,+,-,0,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,A1,190,AFU,485,515,naive HCA,-,+,-,0,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,A2,172,AFU,485,515,naive HCA,-,+,-,0,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,A3,171,AFU,485,515,naive HCA,-,+,-,0,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,A4,170,AFU,485,515,naive HCK,+,-,-,0,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,A5,163,AFU,485,515,naive HCK,+,-,-,0,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,A6,171,AFU,485,515,naive HCK,+,-,-,0,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,B1,168,AFU,485,515,naive HCA,+,+,-,0,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,B2,169,AFU,485,515,naive HCA,+,+,-,0,2,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,B3,173,AFU,485,515,naive HCA,+,+,-,0,3,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,B4,161,AFU,485,515,naive HCK,+,+,-,0,1,sfGFP61485515
sfGFP,61,2318,0.6438888888888888,B5,160,AFU,485,515,naive HCK,+,+,-,0,2,sfGFP61485515
