row,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,read
A,263,286,271,282,272,285,2311,498,2149,508,10449,756,468,394,331,390,337,322,567,516,528,490,637,515,"sfGFP_1:485,515"
A,707,597,694,577,700,603,4820,4145,4721,4209,3189,4379,709,572,705,567,711,461,8533,2295,7207,1389,7300,3276,"mScarlet_1_1:565,595"
A,20333,17392,20106,16730,20349,17515,OVRFLW,OVRFLW,OVRFLW,OVRFLW,91504,OVRFLW,20324,16615,20256,16413,20642,13503,OVRFLW,66348,OVRFLW,40431,OVRFLW,93748,"mScarlet_2_1:565,595"
A,1.486,1.466,1.491,1.464,1.492,1.475,1.197,1.482,1.214,1.524,1.481,1.51,1.462,1.472,1.504,1.463,1.492,1.406,1.517,1.213,1.512,1.243,1.462,1.445,OD700_1:700
A,263,278,268,277,268,282,2315,484,2175,494,10427,737,466,390,327,386,333,317,556,504,514,484,621,495,"sfGFP_2:485,515"
A,676,583,669,570,673,592,4757,4103,4610,4137,3091,4309,675,552,673,549,682,454,8135,2265,6884,1398,7010,3225,"mScarlet_1_2:565,595"
A,19718,17106,19527,16716,19667,17414,OVRFLW,OVRFLW,OVRFLW,OVRFLW,89640,OVRFLW,19739,16371,19722,16197,19873,13472,OVRFLW,66661,OVRFLW,41369,OVRFLW,94227,"mScarlet_2_2:565,595"
A,1.473,1.454,1.48,1.456,1.487,1.466,1.201,1.476,1.218,1.52,1.476,1.504,1.458,1.466,1.499,1.457,1.486,1.402,1.515,1.232,1.495,1.236,1.464,1.451,OD700_2:700
B,15342,14481,14470,15471,14017,16408,24391,22308,23620,22130,19867,22156,13310,15941,15528,15244,14265,12710,1448,15877,5469,9462,15871,17694,"sfGFP_1:485,515"
B,577,409,577,375,568,357,43,232,43,125,1428,155,628,340,581,359,595,286,102,232,88,40,74,518,"mScarlet_1_1:565,595"
